"time","ppg_reading","reading_id","laterality"
"1","6.299931094","26580.0","LEFT_ARM"
"1","6.333264063","20803.5","LEFT_ARM"
"1","6.366597031","18624.5","LEFT_ARM"
"1","6.39993","14998.5","LEFT_ARM"
"1","6.433262969","11368.5","LEFT_ARM"
"1","6.466595938","11150.0","LEFT_ARM"
"1","6.499928906","8431.5","LEFT_ARM"
"1","6.533261875","8933.5","LEFT_ARM"
"1","6.566594844","6521.5","LEFT_ARM"
"1","6.599927813","-5253.5","LEFT_ARM"
"1","6.633260781","-3850.0","LEFT_ARM"
"1","6.66659375","-6027.5","LEFT_ARM"
"1","6.699926719","-4208.5","LEFT_ARM"
"1","6.733259688","-4520.0","LEFT_ARM"
"1","6.766592656","-3582.5","LEFT_ARM"
"1","6.799925625","-3127.5","LEFT_ARM"
"1","6.833258594","-828.0","LEFT_ARM"
"1","6.866591563","122.0","LEFT_ARM"
"1","6.899924531","786.0","LEFT_ARM"
"1","6.9332575","-3808.0","LEFT_ARM"
"1","6.966590469","-2521.0","LEFT_ARM"
"1","6.999923438","-2509.0","LEFT_ARM"
"1","7.033256406","331.0","LEFT_ARM"
"1","7.066589375","1145.5","LEFT_ARM"
"1","7.099922344","4967.5","LEFT_ARM"
"1","7.133255313","5755.5","LEFT_ARM"
"1","7.166588281","6524.0","LEFT_ARM"
"1","7.19992125","9149.5","LEFT_ARM"
"1","7.233254219","8410.0","LEFT_ARM"
"1","7.266587188","23466.5","LEFT_ARM"
"1","7.299920156","20074.5","LEFT_ARM"
"1","7.333253125","15863.5","LEFT_ARM"
"1","7.366586094","12180.0","LEFT_ARM"
"1","7.399919063","7896.0","LEFT_ARM"
"1","7.433252031","5576.0","LEFT_ARM"
"1","7.466585","3432.0","LEFT_ARM"
"1","7.499917969","1660.5","LEFT_ARM"
"1","7.533250938","2966.5","LEFT_ARM"
"1","7.566583906","1903.5","LEFT_ARM"
"1","7.599916875","-2818.5","LEFT_ARM"
"1","7.633249844","-2137.5","LEFT_ARM"
"1","7.666582813","-2702.0","LEFT_ARM"
"1","7.699915781","-2954.0","LEFT_ARM"
"1","7.73324875","-1424.5","LEFT_ARM"
"1","7.766581719","-2571.5","LEFT_ARM"
"1","7.799914688","-1235.5","LEFT_ARM"
"1","7.833247656","-685.5","LEFT_ARM"
"1","7.866580625","3311.5","LEFT_ARM"
"1","7.899913594","5392.5","LEFT_ARM"
"1","7.933246563","-11716.5","LEFT_ARM"
"1","7.966579531","-12848.0","LEFT_ARM"
"1","7.9999125","-9312.0","LEFT_ARM"
"1","8.033245469","-8436.5","LEFT_ARM"
"1","8.066578438","-4722.5","LEFT_ARM"
"1","8.099911406","-3696.5","LEFT_ARM"
"1","8.133244375","-1050.5","LEFT_ARM"
"1","8.166577344","646.5","LEFT_ARM"
"1","8.199910313","3319.5","LEFT_ARM"
"1","8.233243281","5192.5","LEFT_ARM"
"1","8.26657625","32197.0","LEFT_ARM"
"1","8.299909219","30197.0","LEFT_ARM"
"1","8.333242188","25481.0","LEFT_ARM"
"1","8.366575156","20864.0","LEFT_ARM"
"1","8.399908125","17393.0","LEFT_ARM"
"1","8.433241094","14026.0","LEFT_ARM"
"1","8.466574063","11210.5","LEFT_ARM"
"1","8.499907031","8426.5","LEFT_ARM"
"1","8.53324","7881.0","LEFT_ARM"
"1","8.566572969","6039.0","LEFT_ARM"
"1","8.599905938","5016.5","LEFT_ARM"
"1","8.633238906","4263.0","LEFT_ARM"
"1","8.666571875","5960.5","LEFT_ARM"
"1","8.699904844","4094.0","LEFT_ARM"
"1","8.733237813","4431.0","LEFT_ARM"
"1","8.766570781","5562.5","LEFT_ARM"
"1","8.79990375","4020.0","LEFT_ARM"
"1","8.833236719","5026.5","LEFT_ARM"
"1","8.866569688","5889.0","LEFT_ARM"
"1","8.899902656","5861.0","LEFT_ARM"
"1","8.933235625","-10004.5","LEFT_ARM"
"1","8.966568594","-8502.0","LEFT_ARM"
"1","8.999901563","-7776.0","LEFT_ARM"
"1","9.033234531","-6343.5","LEFT_ARM"
"1","9.0665675","-5248.5","LEFT_ARM"
"1","9.099900469","-3650.5","LEFT_ARM"
"1","9.133233438","-1401.5","LEFT_ARM"
"1","9.166566406","1664.0","LEFT_ARM"
"1","9.199899375","2376.0","LEFT_ARM"
"1","9.233232344","5534.5","LEFT_ARM"
"1","9.266565313","38146.0","LEFT_ARM"
"1","9.299898281","41395.5","LEFT_ARM"
"1","9.33323125","41914.0","LEFT_ARM"
"1","9.366564219","38384.0","LEFT_ARM"
"1","9.399897188","32323.5","LEFT_ARM"
"1","9.433230156","27081.5","LEFT_ARM"
"1","9.466563125","23238.5","LEFT_ARM"
"1","9.499896094","20408.5","LEFT_ARM"
"1","9.533229063","18009.5","LEFT_ARM"
"1","9.566562031","15179.5","LEFT_ARM"
"1","9.599895","11334.5","LEFT_ARM"
"1","9.633227969","10894.0","LEFT_ARM"
"1","9.666560938","11845.5","LEFT_ARM"
"1","9.699893906","9556.0","LEFT_ARM"
"1","9.733226875","8188.5","LEFT_ARM"
"1","9.766559844","8368.5","LEFT_ARM"
"1","9.799892813","8249.5","LEFT_ARM"
"1","9.833225781","8884.0","LEFT_ARM"
"1","9.86655875","7840.5","LEFT_ARM"
"1","9.899891719","8802.5","LEFT_ARM"
"1","9.933224688","-10691.5","LEFT_ARM"
"1","9.966557656","-9202.0","LEFT_ARM"
"1","9.999890625","-8072.0","LEFT_ARM"
"1","10.03322359","-6585.0","LEFT_ARM"
"1","10.06655656","-5525.5","LEFT_ARM"
"1","10.09988953","-4791.0","LEFT_ARM"
"1","10.1332225","-2615.5","LEFT_ARM"
"1","10.16655547","-1619.0","LEFT_ARM"
"1","10.19988844","161.0","LEFT_ARM"
